key,0,1,2,3,4,5,6,7
61,"signifer de la 3e cohorte",0,"signiferi de la 3e cohorte",0,0,1,0,0
62,"ptéroc des embruns",0,"ptérocs des embruns",0,0,1,0,0
63,"pudding",0,"puddings",0,0,1,0,0
64,"crieur sylvain",0,"crieurs sylvains",0,0,1,0,0
65,"soupireur sylvain",0,"soupireurs sylvains",0,0,1,0,0
66,"grondeur sylvain",0,"grondeurs sylvains",0,0,1,0,0
67,"crieur sylphe",0,"crieurs sylphes",0,0,1,0,0
68,"soupireur sylphe",0,"soupireurs sylphes",0,0,1,0,0
69,"grondeur sylphe",0,"grondeurs sylphes",0,0,1,0,0
70,"chanteur sylphe",0,"chanteurs sylphes",0,0,1,0,0
71,"Silberio du Nœud sombre",0,"Silberio du Nœud sombre",0,0,1,0,1
72,"Bockman",0,"Bockman",0,0,1,0,1
73,"Galvanth le Tyran",0,"Galvanth le Tyran",0,0,1,0,1
74,"Déchiqueteur",0,"Déchiqueteur",0,0,1,0,1
75,"Aerico",0,"Aerico",0,1,1,0,1
76,"quêteuse de poutres de Gelmorra",0,"quêteuses de poutres de Gelmorra",0,0,1,1,0
77,"quêteuse de rouages de Gelmorra",0,"quêteuses de rouages de Gelmorra",0,0,1,1,0
78,"quêteuse de clous de Gelmorra",0,"quêteuses de clous de Gelmorra",0,0,1,1,0
79,"prêtre de Dalamud",0,"prêtres de Dalamud",0,0,1,0,0
80,"étripeur Ventrerouge",0,"étripeurs Ventrerouge",0,1,1,0,0
81,"Severaint Sept Dards",0,"Severaint Sept Dards",0,0,1,0,1
82,"gardien du Guêpier des Ventrerouge",0,"gardiens du Guêpier des Ventrerouge",0,0,1,0,0
83,"épieur Ventrerouge",0,"épieurs Ventrerouge",0,1,1,0,0
84,"psalmodieur Ventrerouge",0,"psalmodieurs Ventrerouge",0,0,1,0,0
85,"Dofagan le Pénitent",0,"Dofagan le Pénitent",0,0,1,0,1
86,"timonier des Chiens enragés",0,"timoniers des Chiens enragés",0,0,1,0,0
87,"matelot des Chiens enragés",0,"matelots des Chiens enragés",0,0,1,0,0
88,"ingénieur des Chiens enragés",0,"ingénieurs des Chiens enragés",0,1,1,0,0
89,"canonnier des Chiens enragés",0,"canonniers des Chiens enragés",0,0,1,0,0
90,"spriggan collectionneur",0,"spriggans col<SoftHyphen/>lec<SoftHyphen/>tion<SoftHyphen/>neurs",0,0,1,0,0
91,"spriggan",0,"spriggans",0,0,1,0,0
92,"Antarès",0,"Antarès",0,1,1,0,1
93,"Sargas",0,"Sargas",0,0,1,0,1
94,"Shaula",0,"Shaula",0,0,1,0,1
95,"flan du flux",0,"flans du flux",0,0,1,0,0
96,"hécatonchire contremaître",0,"hécatonchires contremaîtres",0,1,1,0,0
97,"hécatonchire hercheur",0,"hécatonchires hercheurs",0,1,1,0,0
98,"hécatonchire amortisseur",0,"hécatonchires amortisseurs",0,1,1,0,0
99,"hécatonchire pilonneur",0,"hécatonchires pilonneurs",0,1,1,0,0
100,"hécatonchire artificier",0,"hécatonchires artificiers",0,1,1,0,0
101,"Gygès l'invulnérable",0,"Gygès l'invulnérable",0,0,1,0,1
102,"épéiste ixal",0,"épéistes ixali",0,1,1,0,0
103,"Ixal aile-hardie",0,"Ixali aile-hardie",0,1,1,0,0
104,"Ixal bec-vif",0,"Ixali bec-vif",0,1,1,0,0
105,"embrumeur ixal",0,"embrumeur ixali",0,1,1,0,0
106,"coeurl",0,"coeurls",0,0,1,0,0
107,"mandragore",0,"mandragores",0,0,1,1,0
108,"",0,"",0,0,0,0,0
109,"fossoyeur",0,"fossoyeurs",0,0,1,0,0
110,"soldat squelette",0,"soldat squelette",0,0,1,0,0
111,"petit acarus de l'Hypogée",0,"petits acari de l'Hypogée",0,0,1,0,0
112,"kalong",0,"kalongs",0,0,1,0,0
113,"élémentaire de terre",0,"élémentaires de terre",0,1,1,0,0
114,"élémentaire de glace",0,"élémentaires de glace",0,1,1,0,0
115,"élémentaire de vent",0,"élémentaires de vent",0,1,1,0,0
116,"élémentaire de feu",0,"élémentaires de feu",0,1,1,0,0
117,"élémentaire de foudre",0,"élémentaires de foudre",0,1,1,0,0
118,"nuée de moucherons",0,"nuées de moucherons",0,0,1,1,0
119,"Octavel le Rancunier",0,"Octavel le Rancunier",0,1,1,0,1
120,"anolis",0,"anolis",0,1,1,0,0
121,"meneur des Ventrerouge",0,"meneurs des Ventrerouge",0,0,1,0,0
122,"dardeur Ventrerouge",0,"dardeurs Ventrerouge",0,0,1,0,0
123,"piège-roussette toxique",0,"piège-roussettes toxiques",0,0,1,0,0
124,"piège-mouche toxique",0,"piège-mouches toxiques",0,0,1,0,0
125,"taon pyophage",0,"taons pyophages",0,0,1,0,0
126,"limace géante",0,"limaces géantes",0,0,1,1,0
127,"limace énorme",0,"limaces énormes",0,0,1,1,0
128,"pousse de tréant",0,"pousses de tréant",0,0,1,1,0
129,"luciole",0,"lucioles",0,0,1,1,0
130,"lindwurm",0,"lindwurms",0,0,1,0,0
131,"golem des cratères",0,"golems des cratères",0,0,1,0,0
132,"bombo fumigène",0,"bombos fumigènes",0,0,1,0,0
133,"chauve-souris géante",0,"chauves-souris géantes",0,0,1,1,0
134,"élémentaire de terre corrompu",0,"élémentaires de terre corrompus",0,1,1,0,0
135,"élémentaire de vent corrompu",0,"élémentaires de vent corrompus",0,1,1,0,0
136,"élémentaire d'eau corrompu",0,"élémentaires d'eau corrompus",0,1,1,0,0
137,"squelette errant",0,"squelettes errants",0,0,1,0,0
138,"larbin Ventrerouge",0,"larbins Ventrerouge",0,0,1,0,0
139,"chasseresse Griffecoeurl",0,"chasseresses Griffecoeurl",0,0,1,1,0
140,"braconnière Griffecoeurl",0,"braconnières Griffecoeurl",0,0,1,1,0
141,"fungus parasite",0,"fungi parasites",0,0,1,0,0
142,"jeune antilope cerf",0,"jeunes antilopes cerf",0,0,1,1,0
143,"valet d'Ak-Inik",0,"valets d'Ak-Inik",0,0,1,0,0
144,"valet d'Ak-Mena",0,"valets d'Ak-Mena",0,0,1,0,0
145,"scarabée charognard",0,"scarabées charognards",0,0,1,0,0
146,"nuée de mouches à viande",0,"nuées de mouches à viande",0,0,1,1,0
147,"étincelle de l'Hypogée",0,"étincelles de l'Hypogée",0,1,1,1,0
148,"lanterne sinistre",0,"lanternes sinistres",0,0,1,1,0
149,"acarus de la nuée",0,"acari de la nuée",0,1,1,0,0
150,"acarus bâtard",0,"acari bâtard",0,1,1,0,0
151,"psoque putride",0,"psoques putrides",0,0,1,0,0
152,"flamme du néant",0,"flammes du néant",0,0,1,1,0
153,"ptéroc des prisons",0,"ptérocs des prisons",0,0,1,0,0
154,"scion de Mun-Tuy",0,"scions de Mun-Tuy",0,0,1,0,0
155,"piège-mite",0,"piège-mites",0,0,1,0,0
156,"flammerole geôlière",0,"flammeroles geôlières",0,0,1,1,0
157,"acarus des cachots",0,"acari des cachots",0,1,1,0,0
158,"pudding des prisons",0,"puddings des prisons",0,0,1,0,0
159,"galant de la veuve",0,"galants de la veuve",0,0,1,0,0
160,"busard des Terres sylphes",0,"busards des Terres sylphes",0,0,1,0,0
161,"sanglier des fossés",0,"sangliers des fossés",0,0,1,0,0
162,"pousse de tuberculait",0,"pousses de tuberculait",0,0,1,1,0
163,"sentinelle des Terres sylphes",0,"sentinelles des Terres sylphes",0,0,1,1,0
164,"crapaud rêveur",0,"crapauds rêveurs",0,0,1,0,0
165,"grappe de tuberculait",0,"grappes de tuberculait",0,0,1,1,0
166,"chapeau sylphe",0,"chapeaux sylphes",0,0,1,0,0
167,"rêveur sylphe",0,"rêveurs sylphes",0,0,1,0,0
168,"nuée de mouches",0,"nuées de mouches",0,0,1,1,0
169,"trancheuse Griffecoeurl",0,"trancheuses Griffecoeurl",0,0,1,1,0
170,"souris meurtrière du néant profond",0,"souris meurtrières du néant profond",0,0,1,1,0
171,"kalong inférieur",0,"kalongs inférieurs",0,0,1,0,0
172,"vide-gousset Ventrerouge",0,"vide-goussets Ventrerouge",0,0,1,0,0
173,"anolis apprivoisé",0,"anolis apprivoisés",0,1,1,0,0
174,"loup de garde",0,"loups de garde",0,0,1,0,0
175,"piège-mouche vénéneux",0,"piège-mouches vénéneux",0,0,1,0,0
176,"biche ruminant",0,"biches ruminant",0,0,1,1,0
177,"limace feuillesang",0,"limaces feuillesang",0,0,1,1,0
178,"mite feuillesang",0,"mites feuillesang",0,0,1,1,0
179,"nuée d'abeilles de Sombrelinceul",0,"nuées d'abeilles de Sombrelinceul",0,0,1,1,0
180,"roselette feuillesang",0,"roselettes feuillesang",0,0,1,1,0
181,"chigoe charognard",0,"chigoes charognards",0,0,1,0,0
182,"lancier zombi",0,"lanciers zombis",0,0,1,0,0
183,"lémur de la Forêt du nord",0,"lémurs de la Forêt du nord",0,0,1,0,0
184,"opo-opo de la Forêt du sud",0,"opo-opo de la Forêt du sud",0,1,1,0,0
185,"Janremi rancœur-noire",0,"Janremi rancœur-noire",0,0,1,0,1
186,"sbire détrousseur",0,"sbires détrousseurs",0,0,1,0,0
187,"follet des marais",0,"follets des marais",0,0,1,0,0
188,"limace nécrophage",0,"limaces nécrophages",0,0,1,1,0
189,"malandrin colérique",0,"malandrins colériques",0,0,1,0,0
190,"éclaireur ixal",0,"éclaireurs ixali",0,1,1,0,0
191,"coccinelle des bois",0,"coccinelles des bois",0,0,1,1,0
192,"Ixal serres-usées",0,"Ixali serres-usées",0,1,1,0,0
193,"Ixal aile-perdue",0,"Ixali aile-perdue",0,1,1,0,0
194,"Ixal bec-lent",0,"Ixali bec-lent",0,1,1,0,0
195,"goret",0,"gorets",0,0,1,0,0
196,"jeune triton noir",0,"jeunes tritons noirs",0,0,1,0,0
197,"yarzon des marais",0,"yarzons des marais",0,0,1,0,0
198,"écureuil casse-noix",0,"écureuils casse-noix",0,1,1,0,0
199,"fungus trébuchant",0,"fungi trébuchants",0,0,1,0,0
200,"coccinelle porteuse",0,"coccinelles porteuses",0,0,1,1,0
201,"nuage de syrphes",0,"nuages de syrphes",0,0,1,0,0
202,"goret affamé",0,"gorets affamés",0,0,1,0,0
203,"microtyugh à sarment",0,"microtyughs à sarment",0,0,1,0,0
204,"yarzon brun",0,"yarzons bruns",0,0,1,0,0
205,"jeune triton tacheté",0,"jeunes tritons tachetés",0,0,1,0,0
206,"anolis rôdeur",0,"anolis rôdeurs",0,1,1,0,0
207,"œil flottant",0,"yeux flottants",0,1,1,0,0
208,"Ixal aile-légère",0,"Ixali aile-légère",0,1,1,0,0
209,"Ixal serres-vives",0,"Ixali serres-vives",0,1,1,0,0
210,"Ixal bec-droit",0,"Ixali bec-droit",0,1,1,0,0
211,"lampyre",0,"lampyres",0,0,1,0,0
212,"loup solitaire",0,"loups solitaires",0,0,1,0,0
213,"lierre étrangleur",0,"lierres étrangleurs",0,0,1,0,0
214,"lierre envahissant",0,"lierres en<SoftHyphen/>va<SoftHyphen/>his<SoftHyphen/>sants",0,0,1,0,0
215,"otyugh monstrueux",0,"otyughs monstrueux",0,1,1,0,0
216,"crapaud toxique",0,"crapauds toxiques",0,0,1,0,0
217,"crapaud rieur",0,"crapauds rieurs",0,0,1,0,0
218,"Qiqirn farfouilleur",0,"Qiqirns farfouilleurs",0,0,1,0,0
219,"Qiqirn rabatteur",0,"Qiqirns rabatteurs",0,0,1,0,0
220,"fungus fée",0,"fungi fée",0,0,1,0,0
221,"ziz poussin",0,"ziz poussin",0,0,1,0,0
222,"ziz déplumé",0,"ziz déplumés",0,0,1,0,0
223,"petit ziz",0,"petits ziz",0,0,1,0,0
224,"ziz",0,"ziz",0,0,1,0,0
225,"chasseur gobelin",0,"chasseurs gobelins",0,0,1,0,0
226,"yarzon des rivières",0,"yarzons des rivières",0,0,1,0,0
227,"yarzon charognard",0,"yarzons charognards",0,0,1,0,0
228,"triton noir",0,"tritons noirs",0,0,1,0,0
229,"hurleur sylvain",0,"hurleurs sylvains",0,0,1,0,0
230,"murmureur sylvain",0,"murmureurs sylvains",0,0,1,0,0
231,"gémisseur sylvain",0,"gémisseurs sylvains",0,0,1,0,0
232,"tréant malade",0,"tréants malades",0,0,1,0,0
233,"tréant centenaire",0,"tréants centenaires",0,0,1,0,0
234,"orobon petite gueule",0,"orobons petite gueule",0,1,1,0,0
235,"orobon grande gueule",0,"orobons grande gueule",0,1,1,0,0
236,"revenant",0,"revenants",0,0,1,0,0
237,"morbol",0,"morbols",0,0,1,0,0
238,"storoper",0,"storopers",0,0,1,0,0
239,"braconnière de raptors",0,"braconnières de raptors",0,0,1,1,0
240,"braconnière de sangliers",0,"braconnières de sangliers",0,0,1,1,0
241,"braconnière de loups",0,"braconnières de loups",0,0,1,1,0
242,"ahriman",0,"ahrimans",0,1,1,0,0
243,"tortue de fer",0,"tortues de fer",0,0,1,1,0
244,"tortue géante",0,"tortues géantes",0,0,1,1,0
245,"lancier amalj'aa",0,"lanciers amalj'aa",0,0,1,0,0
246,"empaleur amalj'aa",0,"empaleurs amalj'aa",0,1,1,0,0
247,"javelinier amalj'aa",0,"javeliniers amalj'aa",0,0,1,0,0
248,"harponneur amalj'aa",0,"harponneurs amalj'aa",0,0,1,0,0
249,"archer amalj'aa",0,"archers amalj'aa",0,1,1,0,0
250,"chasseur amalj'aa",0,"chasseurs amalj'aa",0,0,1,0,0
251,"ranger amalj'aa",0,"rangers amalj'aa",0,0,1,0,0
252,"tireur amalj'aa",0,"tireurs amalj'aa",0,0,1,0,0
253,"pugiliste amalj'aa",0,"pugilistes amalj'aa",0,0,1,0,0
254,"cogneur amalj'aa",0,"cogneurs amalj'aa",0,0,1,0,0
255,"Nazagg Gah mâchoire-de-quartz",0,"Nazagg Gah mâchoire-de-quartz",0,0,1,0,1
256,"tabasseur amalj'aa",0,"tabasseurs amalj'aa",0,0,1,0,0
257,"Nezedd Gah mâchoire-de-diamant",0,"Nezedd Gah mâchoire-de-diamant",0,0,1,0,1
258,"occultiste amalj'aa",0,"occultistes amalj'aa",0,1,1,0,0
259,"voyant amalj'aa",0,"voyants amalj'aa",0,0,1,0,0
260,"divinateur amalj'aa",0,"divinateurs amalj'aa",0,0,1,0,0
261,"araignée mécanique",0,"araignées mécaniques",0,1,1,1,0
262,"marmotte",0,"marmottes",0,0,1,1,0
263,"lupus",0,"lupus",0,0,1,0,0
264,"draconide du soleil",0,"draconides du soleil",0,0,1,0,0
265,"crapaud des sables",0,"crapauds des sables",0,0,1,0,0
266,"Qiqirn casse-coquille",0,"Qiqirns casse-coquille",0,0,1,0,0
267,"naga allagois",0,"nagas allagois",0,0,1,0,0
268,"Qiqirn gobe-oisillon",0,"Qiqirns gobe-oisillon",0,0,1,0,0
269,"avant-garde magitek",0,"avant-gardes magitek",0,1,1,1,0
270,"grenado",0,"grenados",0,0,1,0,0
271,"toison d'or",0,"toisons d'or",0,0,1,1,0
272,"poiluche",0,"poiluches",0,0,1,0,0
273,"bouquetin myotragus",0,"bouquetins myotragus",0,0,1,0,0
274,"étagne myotragus",0,"étagnes myotragus",0,1,1,1,0
275,"doblyn de quartz",0,"doblyns de quartz",0,0,1,0,0
276,"coblyn rouillé",0,"coblyns rouillés",0,0,1,0,0
277,"coblyn de cuivre",0,"coblyns de cuivre",0,0,1,0,0
278,"coblyn de plomb",0,"coblyns de plomb",0,0,1,0,0
279,"chauve-souris du soleil",0,"chauve-souris du soleil",0,0,1,1,0
280,"golem de grès",0,"golems de grès",0,0,1,0,0
281,"bec-pic",0,"becs-pics",0,0,1,0,0
282,"bec-marteau",0,"becs-marteaux",0,0,1,0,0
283,"détrousseur gobelin",0,"détrousseurs gobelins",0,0,1,0,0
284,"yarzon nourricier",0,"yarzons nourriciers",0,0,1,0,0
285,"yarzon brun",0,"yarzons bruns",0,0,1,0,0
286,"pampa",0,"pampas",0,0,1,0,0
287,"cactuar",0,"cactuars",0,0,1,0,0
288,"cactuar nopal",0,"cactuars nopal",0,0,1,0,0
289,"jeune triton",0,"jeunes tritons",0,0,1,0,0
290,"ver des sables",0,"vers des sables",0,0,1,0,0
291,"ouroboros",0,"ouroboros",0,1,1,0,0
292,"fourmi soldat",0,"fourmis soldats",0,0,1,1,0
293,"fourmi sentinelle",0,"fourmis sentinelles",0,0,1,1,0
294,"fourmi ouvrière",0,"fourmis ouvrières",0,0,1,1,0
295,"Simorgh",0,"Simorgh",0,0,1,0,1
296,"scarabourdon",0,"scarabourdons",0,0,1,0,0
297,"colosse magitek",0,"colosses magitek",0,0,1,0,0
298,"nuée de moucherons soleil",0,"nuées de moucherons soleil",0,0,1,1,0
299,"jeune busard",0,"jeunes busards",0,0,1,0,0
300,"busard de crique",0,"busards de crique",0,0,1,0,0
301,"busard des gouffres",0,"busards des gouffres",0,0,1,0,0
302,"houret poussiéreux",0,"hourets poussiéreux",0,0,1,0,0
303,"peiste sablon",0,"peistes sablon",0,0,1,0,0
304,"basilic",0,"basilics",0,0,1,0,0
305,"peiste du désert",0,"peistes du désert",0,0,1,0,0
306,"tuco-tuco",0,"tuco-tuco",0,0,1,0,0
307,"lotte",0,"lottes",0,0,1,1,0
308,"orobon",0,"orobons",0,1,1,0,0
309,"épouvantôme boursouflé",0,"épouvantômes boursouflés",0,1,1,0,0
310,"hercheur de Gouttelune",0,"hercheurs de Gouttelune",0,0,1,0,0
311,"hercheur d'Amajina",0,"hercheurs d'Amajina",0,0,1,0,0
312,"pilonneur de Gouttelune",0,"pilonneurs de Gouttelune",0,0,1,0,0
313,"pilonneur d'Amajina",0,"pilonneurs d'Amajina",0,0,1,0,0
314,"artificier de Gouttelune",0,"artificiers de Gouttelune",0,1,1,0,0
315,"artificier d'Amajina",0,"artificiers d'Amajina",0,1,1,0,0
316,"bombo",0,"bombos",0,0,1,0,0
317,"spriggan pilleur de tombe",0,"spriggans pilleurs de tombe",0,0,1,0,0
318,"musaraigne agressive",0,"musaraignes agressives",0,0,1,1,0
319,"cadavre putrescent",0,"cadavres putrescents",0,0,1,0,0
320,"soldat déchu",0,"soldats déchus",0,0,1,0,0
321,"lancier déchu",0,"lanciers déchus",0,0,1,0,0
322,"noble putrescent",0,"nobles putrescents",0,0,1,0,0
323,"mage déchu",0,"mages déchus",0,0,1,0,0
324,"magicien déchu",0,"magiciens déchus",0,0,1,0,0
325,"assassin coup de grâce",0,"assassins coup de grâce",0,1,1,0,0
326,"garde des Quiveron",0,"gardes des Quiveron",0,0,1,0,0
327,"assassin langue de venin",0,"assassins langue de venin",0,1,1,0,0
328,"Baron Quiveron troisième du nom",0,"Baron Quiveron troisième du nom",0,0,1,0,1
329,"assassin tire-droit",0,"assassins tire-droit",0,1,1,0,0
330,"domestique des Quiveron",0,"domestiques des Quiveron",0,0,1,0,0
331,"lutteur de la brigade des Cadavres",0,"lutteurs de la brigade des Cadavres",0,0,1,0,0
332,"sorcier de la brigade des Cadavres",0,"sorciers de la brigade des Cadavres",0,0,1,0,0
333,"pertuisanier de la brigade des Cadavres",0,"pertuisaniers de la brigade des Cadavres",0,0,1,0,0
334,"contrebandier des Fils de leurs mères",0,"contrebandiers des Fils de leurs mères",0,0,1,0,0
335,"chef des Fils de leurs mères",0,"chefs des Fils de leurs mères",0,0,1,0,0
336,"tabellion des Fils de leurs mères",0,"tabellions des Fils de leurs mères",0,0,1,0,0
337,"gladiateur subjugué",0,"gladiateurs subjugués",0,0,1,0,0
338,"lutteur subjugué",0,"lutteurs subjugués",0,0,1,0,0
339,"psalmodieur subjugué",0,"psalmodieurs subjugués",0,0,1,0,0
340,"archelon",0,"archelons",0,1,1,0,0
341,"apkallu",0,"apkallus",0,1,1,0,0
342,"queue des pillards du serpent",0,"queues des pillards du serpent",0,0,1,1,0
343,"Aermswys la marquée",0,"Aermswys la marquée",0,1,1,1,1
344,"griffe des pillards du serpent",0,"griffes des pillards du serpent",0,0,1,1,0
345,"aiguillon des pillards du serpent",0,"aiguillons des pillards du serpent",0,1,1,0,0
346,"aileron des pillards du serpent",0,"ailerons des pillards du serpent",0,1,1,0,0
347,"scutelle des pillards du serpent",0,"scutelles des pillards du serpent",0,0,1,1,0
348,"œil des pillards du serpent",0,"yeux des pillards du serpent",0,1,1,0,0
349,"crapaud de rivière",0,"crapauds de rivière",0,0,1,0,0
350,"Qiqirn déterre-œuf",0,"Qiqirns déterre-œuf",0,0,1,0,0
351,"Qiqirn grille-mouette",0,"Qiqirns grille-mouette",0,0,1,0,0
352,"coeurl des jungles",0,"coeurls des jungles",0,0,1,0,0
353,"goobbue",0,"goobbues",0,0,1,0,0
354,"goobbue dépouillé",0,"goobbues dépouillés",0,0,1,0,0
355,"goobbue mildiousé",0,"goobbues mildiousés",0,0,1,0,0
356,"goobbue moussu",0,"goobbues moussus",0,0,1,0,0
357,"auroch",0,"aurochs",0,1,1,0,0
358,"auroch blessé",0,"aurochs blessés",0,1,1,0,0
359,"grand buffle",0,"grands buffles",0,0,1,0,0
360,"guêpe des mers",0,"guêpes des mers",0,0,1,1,0
361,"cloche des Rives sanglantes",0,"cloches des Rives sanglantes",0,0,1,1,0
362,"aurélie à la dérive",0,"aurélies à la dérive",0,1,1,1,0
363,"chauve-souris crépusculaire",0,"chauves-souris crépusculaires",0,0,1,1,0
364,"chauve-souris cavernicole",0,"chauves-souris cavernicoles",0,0,1,1,0
365,"golem de basalte",0,"golems de basalte",0,0,1,0,0
366,"pélican géant",0,"pélicans géant",0,0,1,0,0
367,"pêcheur gobelin",0,"pêcheurs gobelins",0,0,1,0,0
368,"éboueur kobold",0,"éboueurs kobolds",0,1,1,0,0
369,"mineur kobold",0,"mineurs kobolds",0,0,1,0,0
370,"piocheur kobold",0,"piocheurs kobolds",0,0,1,0,0
371,"prêtre kobold",0,"prêtres kobolds",0,0,1,0,0
372,"suppliant kobold",0,"suppliants kobolds",0,0,1,0,0
373,"missionnaire kobold",0,"missionnaires kobolds",0,0,1,0,0
374,"aruspice kobold",0,"aruspices kobolds",0,1,1,0,0
375,"prieur kobold",0,"prieurs kobolds",0,0,1,0,0
376,"bedeau kobold",0,"bedeaux kobold",0,0,1,0,0
377,"livreur kobold",0,"livreurs kobolds",0,0,1,0,0
378,"serviteur kobold",0,"serviteurs kobolds",0,0,1,0,0
379,"patrouilleur kobold",0,"patrouilleurs kobolds",0,0,1,0,0
380,"fantassin kobold",0,"fantassins kobolds",0,0,1,0,0
381,"yarzon des forêts",0,"yarzons des forêts",0,0,1,0,0
382,"araignée d'eau",0,"araignées d'eau",0,1,1,1,0
383,"yarzon saigneur",0,"yarzons saigneurs",0,0,1,0,0
384,"Sahuagin griffe-des-profondeurs",0,"Sahuagins griffe-des-profondeurs",0,0,1,0,0
385,"Sahuagin griffe-des-fosses",0,"Sahuagins griffe-des-fosses",0,0,1,0,0
386,"Sahuagin écaille-des-profondeurs",0,"Sahuagins écaille-des-profondeurs",0,0,1,0,0
387,"capitaine du barrage nord",0,"capitaines du barrage nord",0,0,1,0,0
388,"Sahuagin croc-des-fosses",0,"Sahuagins croc-des-fosses",0,0,1,0,0
389,"Sahuagin épine-des-profondeurs",0,"Sahuagins épine-des-profondeurs",0,0,1,0,0
390,"capitaine du barrage sud",0,"capitaines du barrage sud",0,0,1,0,0
391,"salamandre",0,"salamandres",0,0,1,1,0
392,"agneau égaré",0,"agneaux égarés",0,1,1,0,0
393,"dodo",0,"dodos",0,0,1,0,0
394,"dodo dodu",0,"dodos dodus",0,0,1,0,0
395,"nuage d'avettes",0,"nuages d'avettes",0,0,1,0,0
396,"nuée de moucherons bousiers",0,"nuées de moucherons bousiers",0,0,1,1,0
397,"condor",0,"condors",0,0,1,0,0
398,"condor des hautes terres",0,"condors des hautes terres",0,0,1,0,0
399,"chacal sauvage",0,"chacals sauvages",0,0,1,0,0
400,"callisia",0,"callisias",0,0,1,1,0
401,"jeune puk",0,"jeunes puks",0,0,1,0,0
402,"puk",0,"puks",0,0,1,0,0
403,"héritaupe",0,"héritaupes",0,0,1,0,0
404,"épouvantôme",0,"épouvantômes",0,1,1,0,0
